focal_district,district
Udupi,Dakshina Kannada
Udupi,Dakshina Kannada
Udupi,Shivamogga
Udupi,Shivamogga
Udupi,Chikamagalur
Udupi,Chikamagalur
Ujjain,Indor
Ujjain,Dhar
Ujjain,Ratlam
Ujjain,Shajapur
Ujjain,Dewas
Una,Kangra
Una,Hamirpur
Una,Bilaspur
Una,Hoshiarpur
Unnao,Kanpur Nagar
Unnao,Hardoi
Unnao,Lucknow
Unnao,Raebareli
Unnao,Fatehpur
Uttar Dinajpur,Panchagarh
Uttar Dinajpur,Thakurgaon
Uttar Dinajpur,Dinajpur
Uttar Dinajpur,Kishanganj
Uttar Dinajpur,Purnia
Uttar Dinajpur,Katihar
Uttar Dinajpur,Darjeeling
Uttar Dinajpur,Jalpaiguri
Uttar Dinajpur,Malda
Uttar Dinajpur,Dakshin Dinajpur
Vadodara,Panchmahal
Vadodara,Alirajpur
Vadodara,Narmada
Vadodara,Anand
Vaishali,Muzaffarpur
Vaishali,Saran
Vaishali,Patna
Vaishali,Samastipur
Valsad,Anand
Valsad,Dahod
Valsad,Narmada
Valsad,Navsari
Valsad,Porbandar
Varanasi,Jaunpur
Varanasi,Ghazipur
Varanasi,Sant Ravidas Nagar
Varanasi,Chandauli
Varanasi,Mirzapur
Vellore,Tiruvallur
Vellore,Kanchipuram
Vellore,Tiruvannamalai
Vellore,Krishnagiri
Vidisha,Ashoknagar
Vidisha,Sagar
Vidisha,Raisen
Vidisha,Bhopal
Vidisha,Guna
Viluppuram,Salem
Viluppuram,Dharmapuri
Viluppuram,Cuddalore
Viluppuram,Perambalur
Viluppuram,Thiruvannamalai
Viluppuram,Puducherry
Virudhunagar,Theni
Virudhunagar,Madurai
Virudhunagar,Sivaganga
Virudhunagar,Ramanathapuram
Virudhunagar,Thoothukudi
Virudhunagar,Tirunelveli
Virudhunagar,Idukki
Visakhapatnam,East Godavari
Visakhapatnam,Malkangiri
Visakhapatnam,Koraput
Visakhapatnam,Vizianagaram
Vizianagaram,Srikakulam
Vizianagaram,Visakhapatnam
Vizianagaram,Koraput
Warangal,Karimnagar
Warangal,Bijapur
Warangal,Chhattisgarh
Warangal,Medak
Warangal,Nalgonda
Wardha,Chindwada
Wardha,Seoni
Wardha,Bhandara
Wardha,Chanda
Wardha,Nagpur
Washim,Akola
Washim,Amravati
Washim,Buldhana
Washim,Hingoli
Washim,Yavatmal
West Champaran,Maharajganj
West Champaran,Nepal
West Champaran,Kushinagar
West Champaran,Gopalganj
West Champaran,East Champaran
West Garo Hills,East Garo Hills
West Garo Hills,South Garo Hills
West Garo Hills,Goalpara
West Garo Hills,Bangladesh
West Godavari,Khammam
West Godavari,East Godavari
West Godavari,Krishna
Yadgir,Abbe Tumkar
Yadgir,Khanapur
